id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-019,Biology,1,How many chromosomes do humans have? (variation 3),24,92,12,46,23,3,Consider Biology principles at level 1
bio-l1-020,Biology,1,What is DNA? (variation 3),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-021,Biology,1,What is the basic unit of life? (variation 4),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-022,Biology,1,Which organ pumps blood? (variation 4),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-023,Biology,1,What do plants need for photosynthesis? (variation 4),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-024,Biology,1,How many chromosomes do humans have? (variation 4),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-025,Biology,1,What is DNA? (variation 4),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-026,Biology,1,What is the basic unit of life? (variation 5),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-027,Biology,1,Which organ pumps blood? (variation 5),Brain,Liver,Kidney,Heart,Lungs,3,Consider Biology principles at level 1
bio-l1-028,Biology,1,What do plants need for photosynthesis? (variation 5),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-029,Biology,1,How many chromosomes do humans have? (variation 5),24,92,23,12,46,4,Consider Biology principles at level 1
bio-l1-030,Biology,1,What is DNA? (variation 5),A carbohydrate,A protein,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-031,Biology,1,What is the basic unit of life? (variation 6),Tissue,Atom,Cell,Organ,Molecule,2,Consider Biology principles at level 1
bio-l1-032,Biology,1,Which organ pumps blood? (variation 6),Lungs,Liver,Brain,Heart,Kidney,3,Consider Biology principles at level 1
bio-l1-033,Biology,1,What do plants need for photosynthesis? (variation 6),Only CO2,Only water,Only oxygen,Only sunlight,Sunlight water and CO2,4,Consider Biology principles at level 1
bio-l1-034,Biology,1,How many chromosomes do humans have? (variation 6),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-035,Biology,1,What is DNA? (variation 6),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-036,Biology,1,What is the basic unit of life? (variation 7),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-037,Biology,1,Which organ pumps blood? (variation 7),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-038,Biology,1,What do plants need for photosynthesis? (variation 7),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-039,Biology,1,How many chromosomes do humans have? (variation 7),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-040,Biology,1,What is DNA? (variation 7),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-041,Biology,1,What is the basic unit of life? (variation 8),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-042,Biology,1,Which organ pumps blood? (variation 8),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-043,Biology,1,What do plants need for photosynthesis? (variation 8),Sunlight water and CO2,Only oxygen,Only CO2,Only water,Only sunlight,0,Consider Biology principles at level 1
bio-l1-044,Biology,1,How many chromosomes do humans have? (variation 8),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-045,Biology,1,What is DNA? (variation 8),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-046,Biology,1,What is the basic unit of life? (variation 9),Molecule,Cell,Organ,Atom,Tissue,1,Consider Biology principles at level 1
bio-l1-047,Biology,1,Which organ pumps blood? (variation 9),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-048,Biology,1,What do plants need for photosynthesis? (variation 9),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-049,Biology,1,How many chromosomes do humans have? (variation 9),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-050,Biology,1,What is DNA? (variation 9),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-051,Biology,1,What is the basic unit of life? (variation 10),Organ,Molecule,Atom,Cell,Tissue,3,Consider Biology principles at level 1
bio-l1-052,Biology,1,Which organ pumps blood? (variation 10),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-053,Biology,1,What do plants need for photosynthesis? (variation 10),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-054,Biology,1,How many chromosomes do humans have? (variation 10),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-055,Biology,1,What is DNA? (variation 10),An enzyme,Genetic material,A protein,A carbohydrate,A lipid,1,Consider Biology principles at level 1
bio-l1-056,Biology,1,What is the basic unit of life? (variation 11),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-057,Biology,1,Which organ pumps blood? (variation 11),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-058,Biology,1,What do plants need for photosynthesis? (variation 11),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-059,Biology,1,How many chromosomes do humans have? (variation 11),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-060,Biology,1,What is DNA? (variation 11),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-061,Biology,1,What is the basic unit of life? (variation 12),Molecule,Tissue,Cell,Atom,Organ,2,Consider Biology principles at level 1
bio-l1-062,Biology,1,Which organ pumps blood? (variation 12),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-063,Biology,1,What do plants need for photosynthesis? (variation 12),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-064,Biology,1,How many chromosomes do humans have? (variation 12),24,46,23,12,92,1,Consider Biology principles at level 1
bio-l1-065,Biology,1,What is DNA? (variation 12),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-066,Biology,1,What is the basic unit of life? (variation 13),Organ,Atom,Molecule,Cell,Tissue,3,Consider Biology principles at level 1
bio-l1-067,Biology,1,Which organ pumps blood? (variation 13),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-068,Biology,1,What do plants need for photosynthesis? (variation 13),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-069,Biology,1,How many chromosomes do humans have? (variation 13),46,23,24,12,92,0,Consider Biology principles at level 1
bio-l1-070,Biology,1,What is DNA? (variation 13),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-071,Biology,1,What is the basic unit of life? (variation 14),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-072,Biology,1,Which organ pumps blood? (variation 14),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-073,Biology,1,What do plants need for photosynthesis? (variation 14),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-074,Biology,1,How many chromosomes do humans have? (variation 14),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-075,Biology,1,What is DNA? (variation 14),A carbohydrate,Genetic material,A lipid,An enzyme,A protein,1,Consider Biology principles at level 1
bio-l1-076,Biology,1,What is the basic unit of life? (variation 15),Organ,Tissue,Atom,Cell,Molecule,3,Consider Biology principles at level 1
bio-l1-077,Biology,1,Which organ pumps blood? (variation 15),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-078,Biology,1,What do plants need for photosynthesis? (variation 15),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-079,Biology,1,How many chromosomes do humans have? (variation 15),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-080,Biology,1,What is DNA? (variation 15),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-081,Biology,1,What is the basic unit of life? (variation 16),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-082,Biology,1,Which organ pumps blood? (variation 16),Heart,Kidney,Brain,Liver,Lungs,0,Consider Biology principles at level 1
bio-l1-083,Biology,1,What do plants need for photosynthesis? (variation 16),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-084,Biology,1,How many chromosomes do humans have? (variation 16),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-085,Biology,1,What is DNA? (variation 16),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-086,Biology,1,What is the basic unit of life? (variation 17),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-087,Biology,1,Which organ pumps blood? (variation 17),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-088,Biology,1,What do plants need for photosynthesis? (variation 17),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-089,Biology,1,How many chromosomes do humans have? (variation 17),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-090,Biology,1,What is DNA? (variation 17),A lipid,Genetic material,A carbohydrate,An enzyme,A protein,1,Consider Biology principles at level 1
bio-l1-091,Biology,1,What is the basic unit of life? (variation 18),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-092,Biology,1,Which organ pumps blood? (variation 18),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-093,Biology,1,What do plants need for photosynthesis? (variation 18),Sunlight water and CO2,Only CO2,Only oxygen,Only sunlight,Only water,0,Consider Biology principles at level 1
bio-l1-094,Biology,1,How many chromosomes do humans have? (variation 18),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-095,Biology,1,What is DNA? (variation 18),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-096,Biology,1,What is the basic unit of life? (variation 19),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-097,Biology,1,Which organ pumps blood? (variation 19),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-098,Biology,1,What do plants need for photosynthesis? (variation 19),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-099,Biology,1,How many chromosomes do humans have? (variation 19),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-100,Biology,1,What is DNA? (variation 19),A carbohydrate,A protein,An enzyme,Genetic material,A lipid,3,Consider Biology principles at level 1
bio-l2-001,Biology,2,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-002,Biology,2,Which blood type is universal donor?,A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-003,Biology,2,What is homeostasis?,Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-004,Biology,2,What is an enzyme?,A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-005,Biology,2,What is osmosis?,Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-006,Biology,2,What is the powerhouse of the cell? (variation 1),Mitochondria,Nucleus,Golgi body,Ribosome,Lysosome,0,Consider Biology principles at level 2
bio-l2-007,Biology,2,Which blood type is universal donor? (variation 1),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-008,Biology,2,What is homeostasis? (variation 1),Cell division,Protein synthesis,Energy production,Maintaining internal balance,DNA replication,3,Consider Biology principles at level 2
bio-l2-009,Biology,2,What is an enzyme? (variation 1),A biological catalyst,A carbohydrate,A vitamin,A mineral,A hormone,0,Consider Biology principles at level 2
bio-l2-010,Biology,2,What is osmosis? (variation 1),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-011,Biology,2,What is the powerhouse of the cell? (variation 2),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-012,Biology,2,Which blood type is universal donor? (variation 2),O negative,B,A,AB positive,AB,0,Consider Biology principles at level 2
bio-l2-013,Biology,2,What is homeostasis? (variation 2),Protein synthesis,DNA replication,Maintaining internal balance,Energy production,Cell division,2,Consider Biology principles at level 2
bio-l2-014,Biology,2,What is an enzyme? (variation 2),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-015,Biology,2,What is osmosis? (variation 2),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-016,Biology,2,What is the powerhouse of the cell? (variation 3),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-017,Biology,2,Which blood type is universal donor? (variation 3),AB positive,A,AB,B,O negative,4,Consider Biology principles at level 2
bio-l2-018,Biology,2,What is homeostasis? (variation 3),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-019,Biology,2,What is an enzyme? (variation 3),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-020,Biology,2,What is osmosis? (variation 3),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-021,Biology,2,What is the powerhouse of the cell? (variation 4),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-022,Biology,2,Which blood type is universal donor? (variation 4),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-023,Biology,2,What is homeostasis? (variation 4),Protein synthesis,DNA replication,Cell division,Maintaining internal balance,Energy production,3,Consider Biology principles at level 2
bio-l2-024,Biology,2,What is an enzyme? (variation 4),A biological catalyst,A hormone,A carbohydrate,A vitamin,A mineral,0,Consider Biology principles at level 2
bio-l2-025,Biology,2,What is osmosis? (variation 4),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-026,Biology,2,What is the powerhouse of the cell? (variation 5),Mitochondria,Lysosome,Golgi body,Nucleus,Ribosome,0,Consider Biology principles at level 2
bio-l2-027,Biology,2,Which blood type is universal donor? (variation 5),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-028,Biology,2,What is homeostasis? (variation 5),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-029,Biology,2,What is an enzyme? (variation 5),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-030,Biology,2,What is osmosis? (variation 5),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-031,Biology,2,What is the powerhouse of the cell? (variation 6),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-032,Biology,2,Which blood type is universal donor? (variation 6),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-033,Biology,2,What is homeostasis? (variation 6),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-034,Biology,2,What is an enzyme? (variation 6),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-035,Biology,2,What is osmosis? (variation 6),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-036,Biology,2,What is the powerhouse of the cell? (variation 7),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-037,Biology,2,Which blood type is universal donor? (variation 7),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-038,Biology,2,What is homeostasis? (variation 7),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-039,Biology,2,What is an enzyme? (variation 7),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-040,Biology,2,What is osmosis? (variation 7),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-041,Biology,2,What is the powerhouse of the cell? (variation 8),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-042,Biology,2,Which blood type is universal donor? (variation 8),AB positive,A,O negative,AB,B,2,Consider Biology principles at level 2
bio-l2-043,Biology,2,What is homeostasis? (variation 8),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-044,Biology,2,What is an enzyme? (variation 8),A vitamin,A carbohydrate,A mineral,A biological catalyst,A hormone,3,Consider Biology principles at level 2
bio-l2-045,Biology,2,What is osmosis? (variation 8),Energy production,Protein synthesis,Cell division,Active transport,Movement of water across membrane,4,Consider Biology principles at level 2
bio-l2-046,Biology,2,What is the powerhouse of the cell? (variation 9),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-047,Biology,2,Which blood type is universal donor? (variation 9),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-048,Biology,2,What is homeostasis? (variation 9),Maintaining internal balance,Energy production,DNA replication,Cell division,Protein synthesis,0,Consider Biology principles at level 2
bio-l2-049,Biology,2,What is an enzyme? (variation 9),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-050,Biology,2,What is osmosis? (variation 9),Active transport,Protein synthesis,Cell division,Energy production,Movement of water across membrane,4,Consider Biology principles at level 2
bio-l2-051,Biology,2,What is the powerhouse of the cell? (variation 10),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-052,Biology,2,Which blood type is universal donor? (variation 10),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-053,Biology,2,What is homeostasis? (variation 10),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-054,Biology,2,What is an enzyme? (variation 10),A vitamin,A mineral,A biological catalyst,A hormone,A carbohydrate,2,Consider Biology principles at level 2
bio-l2-055,Biology,2,What is osmosis? (variation 10),Active transport,Protein synthesis,Movement of water across membrane,Energy production,Cell division,2,Consider Biology principles at level 2
bio-l2-056,Biology,2,What is the powerhouse of the cell? (variation 11),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-057,Biology,2,Which blood type is universal donor? (variation 11),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-058,Biology,2,What is homeostasis? (variation 11),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-059,Biology,2,What is an enzyme? (variation 11),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-060,Biology,2,What is osmosis? (variation 11),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-061,Biology,2,What is the powerhouse of the cell? (variation 12),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-062,Biology,2,Which blood type is universal donor? (variation 12),AB positive,O negative,A,AB,B,1,Consider Biology principles at level 2
bio-l2-063,Biology,2,What is homeostasis? (variation 12),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-064,Biology,2,What is an enzyme? (variation 12),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-065,Biology,2,What is osmosis? (variation 12),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-066,Biology,2,What is the powerhouse of the cell? (variation 13),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-067,Biology,2,Which blood type is universal donor? (variation 13),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-068,Biology,2,What is homeostasis? (variation 13),Energy production,DNA replication,Protein synthesis,Cell division,Maintaining internal balance,4,Consider Biology principles at level 2
bio-l2-069,Biology,2,What is an enzyme? (variation 13),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-070,Biology,2,What is osmosis? (variation 13),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-071,Biology,2,What is the powerhouse of the cell? (variation 14),Mitochondria,Lysosome,Golgi body,Nucleus,Ribosome,0,Consider Biology principles at level 2
bio-l2-072,Biology,2,Which blood type is universal donor? (variation 14),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-073,Biology,2,What is homeostasis? (variation 14),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-074,Biology,2,What is an enzyme? (variation 14),A carbohydrate,A biological catalyst,A hormone,A vitamin,A mineral,1,Consider Biology principles at level 2
bio-l2-075,Biology,2,What is osmosis? (variation 14),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-076,Biology,2,What is the powerhouse of the cell? (variation 15),Nucleus,Lysosome,Golgi body,Ribosome,Mitochondria,4,Consider Biology principles at level 2
bio-l2-077,Biology,2,Which blood type is universal donor? (variation 15),B,A,AB positive,O negative,AB,3,Consider Biology principles at level 2
bio-l2-078,Biology,2,What is homeostasis? (variation 15),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-079,Biology,2,What is an enzyme? (variation 15),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-080,Biology,2,What is osmosis? (variation 15),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-081,Biology,2,What is the powerhouse of the cell? (variation 16),Lysosome,Ribosome,Nucleus,Mitochondria,Golgi body,3,Consider Biology principles at level 2
bio-l2-082,Biology,2,Which blood type is universal donor? (variation 16),AB positive,A,AB,O negative,B,3,Consider Biology principles at level 2
bio-l2-083,Biology,2,What is homeostasis? (variation 16),Cell division,DNA replication,Maintaining internal balance,Protein synthesis,Energy production,2,Consider Biology principles at level 2
bio-l2-084,Biology,2,What is an enzyme? (variation 16),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-085,Biology,2,What is osmosis? (variation 16),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-086,Biology,2,What is the powerhouse of the cell? (variation 17),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-087,Biology,2,Which blood type is universal donor? (variation 17),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-088,Biology,2,What is homeostasis? (variation 17),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-089,Biology,2,What is an enzyme? (variation 17),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-090,Biology,2,What is osmosis? (variation 17),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-091,Biology,2,What is the powerhouse of the cell? (variation 18),Nucleus,Mitochondria,Ribosome,Lysosome,Golgi body,1,Consider Biology principles at level 2
bio-l2-092,Biology,2,Which blood type is universal donor? (variation 18),A,B,AB,O negative,AB positive,3,Consider Biology principles at level 2
bio-l2-093,Biology,2,What is homeostasis? (variation 18),Cell division,Maintaining internal balance,Protein synthesis,Energy production,DNA replication,1,Consider Biology principles at level 2
bio-l2-094,Biology,2,What is an enzyme? (variation 18),A vitamin,A biological catalyst,A hormone,A mineral,A carbohydrate,1,Consider Biology principles at level 2
bio-l2-095,Biology,2,What is osmosis? (variation 18),Movement of water across membrane,Active transport,Protein synthesis,Cell division,Energy production,0,Consider Biology principles at level 2
bio-l2-096,Biology,2,What is the powerhouse of the cell? (variation 19),Golgi body,Mitochondria,Lysosome,Nucleus,Ribosome,1,Consider Biology principles at level 2
