id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l2-006,Biology,2,What is the process of cell division that produces gametes?,Mitosis,Meiosis,Binary fission,Budding,Fragmentation,1,This process creates sex cells with half the chromosome number
bio-l2-007,Biology,2,What is the main function of the lymphatic system?,Circulate blood,Fight infections,Produce hormones,Digest food,Control movement,1,This system drains fluid from tissues and contains immune cells
bio-l2-008,Biology,2,Which organelle is responsible for photosynthesis?,Mitochondria,Chloroplast,Nucleus,Ribosome,Golgi body,1,This double-membrane organelle contains thylakoids and chlorophyll
bio-l2-009,Biology,2,What is the difference between arteries and veins?,Color,Size,Direction of blood flow,Number,Location,2,Consider which vessels carry blood toward or away from the heart
bio-l2-010,Biology,2,What is an enzyme?,A vitamin,A biological catalyst,A hormone,A carbohydrate,A mineral,1,These proteins speed up chemical reactions without being consumed
bio-l2-011,Biology,2,What is the purpose of the circulatory system?,Break down food,Transport materials,Filter waste,Produce energy,Store nutrients,1,"This system delivers oxygen, nutrients, and hormones throughout the body"
bio-l2-012,Biology,2,What is the basic unit of the nervous system?,Neuron,Muscle fiber,Blood cell,Bone cell,Epithelial cell,0,This specialized cell transmits electrical signals using axons and dendrites
bio-l2-013,Biology,2,What is ATP?,A protein,An energy molecule,A vitamin,A hormone,An enzyme,1,Adenosine triphosphate stores energy in its phosphate bonds
bio-l2-014,Biology,2,Which blood component is responsible for clotting?,Red blood cells,White blood cells,Platelets,Plasma,Antibodies,2,These cell fragments aggregate at injury sites to stop bleeding
bio-l2-015,Biology,2,What is the function of the large intestine?,Digest proteins,Absorb water,Produce bile,Store food,Filter blood,1,This organ reabsorbs water and forms feces from undigested material
bio-l2-016,Biology,2,What type of organism can make its own food?,Heterotroph,Autotroph,Decomposer,Parasite,Scavenger,1,These organisms use photosynthesis or chemosynthesis to produce nutrients
bio-l2-017,Biology,2,What is the diaphragm?,A bone,A muscle,A valve,A membrane,A nerve,1,This dome-shaped muscle contracts to expand the lungs during breathing
bio-l2-018,Biology,2,What is the pH of normal blood?,Highly acidic (pH 3),Slightly acidic (pH 6),Neutral (pH 7),Slightly basic (pH 7.4),Highly basic (pH 10),3,Blood pH is tightly regulated between 7.35 and 7.45
bio-l2-019,Biology,2,What is the role of hemoglobin?,Fight infection,Clot blood,Carry oxygen,Digest food,Produce energy,2,This iron-containing protein in red blood cells binds oxygen reversibly
bio-l2-020,Biology,2,What is the synapse?,Part of a bone,Junction between neurons,Type of muscle,Blood vessel,Organ system,1,Neurotransmitters cross this gap to transmit signals between nerve cells
bio-l3-001,Biology,3,What is the Krebs cycle?,Part of photosynthesis,Part of cellular respiration,Type of cell division,Protein synthesis pathway,DNA replication process,1,This cycle in the mitochondrial matrix produces NADH and FADH2
bio-l3-002,Biology,3,What is apoptosis?,Uncontrolled cell growth,Programmed cell death,Cell division,Protein folding,Energy production,1,This controlled process eliminates damaged cells without inflammation
bio-l3-003,Biology,3,What is the function of the Golgi apparatus?,Energy production,Protein modification and packaging,DNA replication,Lipid synthesis,Waste removal,1,This organelle modifies proteins and sorts them into vesicles
bio-l3-004,Biology,3,What is the difference between DNA and RNA?,Sugar component,All of the above,Number of strands,Nitrogenous bases,Function,1,DNA has deoxyribose and thymine; RNA has ribose and uracil
bio-l3-005,Biology,3,What is facilitated diffusion?,Active transport,Passive transport with proteins,Energy-requiring process,Cell division,Protein synthesis,1,This process uses channel or carrier proteins but requires no ATP
bio-l3-006,Biology,3,What are phospholipids?,Proteins,Main component of cell membranes,Carbohydrates,Nucleic acids,Enzymes,1,These amphipathic molecules form bilayers with hydrophobic tails inside
bio-l3-007,Biology,3,What is the endoplasmic reticulum?,Energy producer,Network of membranes,Genetic material,Waste processor,Control center,1,This organelle has rough (with ribosomes) and smooth (without) regions
bio-l3-008,Biology,3,What is the role of tRNA?,Store genetic information,Transfer amino acids,Produce energy,Regulate genes,Form cell structure,1,This adapter molecule matches anticodons to codons during translation
bio-l3-009,Biology,3,What is glycolysis?,Breakdown of glucose,Protein synthesis,DNA replication,Cell division,Fat metabolism,0,This anaerobic pathway splits glucose into two pyruvate molecules
bio-l3-010,Biology,3,What is the sodium-potassium pump?,Passive transport,Active transport mechanism,Energy producer,Protein channel,Hormone receptor,1,This ATPase moves 3 Na+ out and 2 K+ in against concentration gradients
bio-l3-011,Biology,3,What are lysosomes?,Energy producers,Digestive organelles,Protein makers,DNA storage,Cell membrane,1,These acidic vesicles contain hydrolytic enzymes for breaking down materials
bio-l3-012,Biology,3,What is a mutation?,Normal cell division,Change in DNA sequence,Protein synthesis,Energy production,Cell growth,1,"These alterations can be caused by errors, radiation, or chemicals"
bio-l3-013,Biology,3,What is the difference between aerobic and anaerobic respiration?,Oxygen requirement,Energy produced,End products,All of the above,Location in cell,3,Aerobic uses oxygen and produces more ATP; anaerobic produces lactate or ethanol
bio-l3-014,Biology,3,What is a plasmid?,Cell organelle,Small circular DNA,Type of protein,Cell membrane,Energy molecule,1,These extrachromosomal elements in bacteria often carry antibiotic resistance
bio-l3-015,Biology,3,What is the function of the smooth ER?,Protein synthesis,Lipid synthesis,DNA replication,Energy production,Waste disposal,1,This organelle makes lipids and detoxifies drugs and poisons
bio-l3-016,Biology,3,What is chemiosmosis?,ATP synthesis process,Cell division,Protein folding,DNA replication,Active transport,0,This process uses a proton gradient across the inner mitochondrial membrane
bio-l3-017,Biology,3,What is a chromosome?,Packaged DNA,Type of protein,Cell organelle,Energy molecule,Enzyme,0,DNA and histones condense into these visible structures during mitosis
bio-l3-018,Biology,3,What is translation in biology?,DNA to RNA,RNA to protein,Protein folding,Cell division,Energy production,1,Ribosomes decode mRNA sequences into polypeptide chains
bio-l3-019,Biology,3,What is transcription?,DNA to RNA,RNA to protein,DNA replication,Cell division,Protein modification,0,RNA polymerase creates an RNA copy of a DNA template strand
bio-l3-020,Biology,3,What is the function of peroxisomes?,Energy production,Break down fatty acids,Protein synthesis,DNA storage,Cell division,1,These organelles oxidize fatty acids and detoxify hydrogen peroxide
bio-l4-001,Biology,4,What is the wobble hypothesis?,DNA structure,Codon-anticodon pairing,Protein folding,Cell membrane fluidity,Enzyme kinetics,1,This explains why multiple codons can code for the same amino acid
bio-l4-002,Biology,4,What is RNA splicing?,Removing introns,DNA replication,Protein synthesis,Cell division,Energy production,0,The spliceosome removes non-coding sequences from pre-mRNA
bio-l4-003,Biology,4,What causes sickle cell anemia?,Viral infection,Point mutation in hemoglobin,Chromosomal deletion,Protein deficiency,Immune disorder,1,A single nucleotide substitution changes glutamic acid to valine
bio-l4-004,Biology,4,What is the function of telomerase?,DNA repair,Extend chromosome ends,Protein synthesis,Energy production,Cell division,1,This enzyme adds TTAGGG repeats to prevent chromosome shortening
bio-l4-005,Biology,4,What is epistasis?,Gene mutation,Gene interaction,Protein synthesis,DNA damage,Cell death,1,This occurs when one gene masks the expression of another gene
bio-l4-006,Biology,4,What is the TATA box?,Promoter sequence,Terminator sequence,Enhancer,Silencer,Operator,0,This AT-rich sequence helps position RNA polymerase II for transcription
bio-l4-007,Biology,4,What is oxidative phosphorylation?,ATP synthesis in mitochondria,Glycolysis,Photosynthesis,Protein synthesis,DNA replication,0,The electron transport chain pumps protons to drive ATP synthase
bio-l4-008,Biology,4,What is the lac operon?,Protein complex,Gene regulation system,Enzyme,Chromosome,Cell organelle,1,This bacterial system regulates lactose metabolism genes coordinately
bio-l4-009,Biology,4,What is alternative splicing?,DNA repair,Producing multiple proteins from one gene,Cell division,Energy production,Protein degradation,1,Different exon combinations create protein diversity from single genes
bio-l4-010,Biology,4,What is the endosymbiotic theory?,Cell division theory,Origin of organelles,DNA replication,Protein synthesis,Evolution by natural selection,1,This theory explains mitochondria and chloroplasts as former bacteria
bio-l4-011,Biology,4,What is RNA interference (RNAi)?,DNA replication,Gene silencing,Protein synthesis,Cell division,Energy production,1,Small RNAs bind to mRNA to block translation or trigger degradation
bio-l4-012,Biology,4,What is a nucleosome?,DNA-protein complex,RNA molecule,Cell organelle,Enzyme,Energy molecule,0,147 base pairs of DNA wrap around an octamer of histone proteins
bio-l4-013,Biology,4,What is the polymerase chain reaction (PCR)?,DNA amplification,Protein synthesis,Cell division,Energy production,Gene silencing,0,This technique uses thermal cycling to exponentially amplify DNA sequences
bio-l4-014,Biology,4,What is a frameshift mutation?,Point mutation,Insertion or deletion,Silent mutation,Chromosomal aberration,Gene duplication,1,Adding or removing nucleotides shifts the reading frame downstream
bio-l4-015,Biology,4,What is the difference between exons and introns?,Exons are expressed,Introns are regulatory,Exons are larger,Introns code for proteins,No difference,0,Exons are spliced together in mature mRNA; introns are removed
bio-l4-016,Biology,4,What is DNA methylation?,DNA repair,Epigenetic modification,DNA replication,Transcription,Translation,1,Adding methyl groups to cytosine residues can silence gene expression
bio-l4-017,Biology,4,What is the signal recognition particle (SRP)?,Directs proteins to ER,Replicates DNA,Produces energy,Degrades proteins,Regulates genes,0,This ribonucleoprotein recognizes signal sequences on nascent proteins
bio-l4-018,Biology,4,What is the proofreading function of DNA polymerase?,Repairs mutations,Removes incorrect nucleotides,Adds nucleotides,Unwinds DNA,Seals breaks,1,3' to 5' exonuclease activity increases replication fidelity
bio-l4-019,Biology,4,What is a codon?,Three nucleotides coding for amino acid,Protein structure,Cell organelle,Enzyme,Energy molecule,0,These triplet sequences in mRNA specify which amino acid to add
bio-l4-020,Biology,4,What is the difference between leading and lagging strand?,Direction of synthesis,Location,Enzymes used,Speed,Function,0,Leading is continuous 5' to 3'; lagging is discontinuous Okazaki fragments
bio-l5-001,Biology,5,What is CRISPR-Cas9?,Sequencing technique,Gene editing tool,Protein analysis,Cell culture method,Imaging technique,1,This system uses guide RNA to direct Cas9 nuclease to specific DNA sequences
bio-l5-002,Biology,5,What is the Warburg effect?,Enhanced glycolysis in cancer,Oxidative stress,Apoptosis,Cell cycle arrest,DNA repair,0,Cancer cells preferentially use glycolysis even with oxygen present
bio-l5-003,Biology,5,What is proteomics?,Study of all proteins,DNA sequencing,RNA analysis,Lipid profiling,Cell counting,0,"Large-scale analysis of protein expression, modification, and interactions"
bio-l5-004,Biology,5,What is epigenetic inheritance?,Mendelian genetics,Non-DNA sequence inheritance,Chromosomal abnormalities,Gene mutations,Protein inheritance,1,Heritable changes in gene expression without altering DNA sequence
bio-l5-005,Biology,5,What is the function of snRNPs?,DNA replication,Translation,RNA splicing,Protein degradation,Lipid synthesis,2,Small nuclear ribonucleoproteins form the catalytic core of the spliceosome
bio-l5-006,Biology,5,What is chromatin remodeling?,DNA methylation,Histone modification,Changing DNA accessibility,DNA repair,Transcription,2,ATP-dependent complexes reposition nucleosomes to regulate transcription
bio-l5-007,Biology,5,What is the Hayflick limit?,Cell division limit,Enzyme maximum,DNA length,Protein size,Mutation rate,0,Normal cells can divide approximately 50 times before senescence
bio-l5-008,Biology,5,What is autophagy?,Cell death,Self-digestion of cellular components,Cell division,Protein synthesis,DNA repair,1,This lysosome-mediated degradation recycles cellular components
bio-l5-009,Biology,5,What is the proteasome?,DNA complex,Protein degradation complex,RNA processor,Lipid synthesizer,Energy producer,1,This barrel-shaped complex degrades ubiquitin-tagged proteins
bio-l5-010,Biology,5,What is trans-splicing?,Joining exons from different genes,Normal splicing,DNA recombination,Protein modification,Cell division,0,Exons from separate pre-mRNA transcripts are spliced together
bio-l5-011,Biology,5,What is X-inactivation?,Chromosome deletion,Silencing one X chromosome,DNA repair,Protein synthesis,Cell division,1,Random inactivation in female mammals achieves dosage compensation
bio-l5-012,Biology,5,What is the miRNA pathway?,DNA replication,Post-transcriptional regulation,Protein synthesis,Energy production,Cell division,1,MicroRNAs bind complementary mRNA sequences to repress translation
bio-l5-013,Biology,5,What is the unfolded protein response?,Cell stress response,Normal protein folding,DNA damage response,Immune response,Hormone signaling,0,ER stress triggers this pathway to restore protein homeostasis
bio-l5-014,Biology,5,What is quorum sensing?,Bacterial communication,Viral infection,Immune response,Enzyme regulation,DNA repair,0,Bacteria use autoinducers to coordinate behavior based on population density
bio-l5-015,Biology,5,What is heterochromatin?,Active DNA,Condensed inactive DNA,RNA structure,Protein complex,Cell membrane,1,Tightly packed chromatin with methylated histones and silenced genes
bio-l5-016,Biology,5,What is the pioneer transcription factor?,First to bind condensed DNA,DNA polymerase,RNA splicing factor,Protein kinase,Energy enzyme,0,These factors can access DNA in nucleosomes and recruit remodelers
bio-l5-017,Biology,5,What is the kinetochore?,Protein complex on centromere,DNA sequence,RNA molecule,Enzyme,Membrane structure,0,This structure attaches chromosomes to spindle microtubules during mitosis
bio-l5-018,Biology,5,What is RNA editing?,Post-transcriptional modification of RNA sequence,Splicing,Capping,Polyadenylation,Degradation,0,ADAR enzymes can convert adenosine to inosine in mRNA
bio-l5-019,Biology,5,What is the SOS response?,DNA damage repair system,Immune response,Stress hormone,Protein folding,Energy crisis,0,This bacterial pathway induces error-prone DNA repair after damage
bio-l5-020,Biology,5,What is trans-splicing in trypanosomes?,Adding leader sequence to mRNAs,Normal splicing,DNA recombination,Protein modification,Translation,0,A 39-nucleotide spliced leader is added to the 5' end of all mRNAs
geo-l1-001,Geography,1,What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,Southern,3,This ocean covers more area than all land on Earth combined
geo-l1-002,Geography,1,How many continents are there?,Five,Six,Seven,Eight,Nine,2,"Count Africa, Antarctica, Asia, Europe, North America, South America, and Australia"
geo-l1-003,Geography,1,What is the capital of France?,London,Berlin,Paris,Madrid,Rome,2,This city is known as the 'City of Light' and home to the Eiffel Tower
geo-l1-004,Geography,1,Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Congo,1,"This African river flows northward for over 6,650 km"
geo-l1-005,Geography,1,What is the largest country by area?,Canada,China,USA,Russia,Brazil,3,This country spans 11 time zones across two continents
geo-l1-006,Geography,1,Which desert is the largest hot desert?,Gobi,Sahara,Arabian,Kalahari,Mojave,1,This North African desert is almost as large as the United States
geo-l1-007,Geography,1,What is the smallest continent?,Europe,Antarctica,Australia,South America,Africa,2,This continent is also a single country
geo-l1-008,Geography,1,Which mountain range is the longest?,Himalayas,Rockies,Alps,Andes,Urals,3,"This South American range stretches over 7,000 km along the Pacific coast"
geo-l1-009,Geography,1,What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,Manila,2,This megacity was formerly known as Edo
geo-l1-010,Geography,1,Which ocean is the smallest?,Pacific,Atlantic,Indian,Arctic,Southern,3,This ocean surrounds the North Pole and is mostly frozen
geo-l1-011,Geography,1,What is the largest island in the world?,Madagascar,Greenland,New Guinea,Borneo,Iceland,1,This autonomous territory of Denmark is mostly covered in ice
geo-l1-012,Geography,1,Which sea is the saltiest?,Mediterranean,Red Sea,Dead Sea,Black Sea,Caspian Sea,2,This landlocked salt lake is so salty you can easily float in it
geo-l1-013,Geography,1,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,Brisbane,2,This planned city is located between Sydney and Melbourne
geo-l1-014,Geography,1,Which waterfall is the highest?,Niagara,Victoria,Angel Falls,Iguazu,Yosemite,2,This Venezuelan waterfall drops 979 meters from a tepui
geo-l1-015,Geography,1,What is the equator?,North Pole,Imaginary line at 0° latitude,South Pole,Prime meridian,Tropic line,1,This line divides Earth into Northern and Southern hemispheres
geo-l1-016,Geography,1,Which country has the most people?,India,China,USA,Indonesia,Brazil,0,"As of 2023, this country surpassed China in population"
geo-l1-017,Geography,1,What is a peninsula?,An island,Land surrounded by water on three sides,A mountain,A valley,A plain,1,Florida and Italy are examples of this landform
geo-l1-018,Geography,1,Which lake is the largest by area?,Lake Superior,Caspian Sea,Lake Victoria,Lake Michigan,Great Bear Lake,1,"Despite its name, this is actually a landlocked salt lake"
geo-l1-019,Geography,1,What is the capital of Egypt?,Alexandria,Cairo,Giza,Luxor,Aswan,1,This city is near the ancient pyramids and sits on the Nile
geo-l1-020,Geography,1,Which continent is the coldest?,Europe,North America,Asia,Antarctica,Arctic,3,This continent has no permanent human residents and is covered in ice
geo-l2-001,Geography,2,What is a tectonic plate?,Ocean current,Large piece of Earth's crust,Type of rock,Mountain range,Weather system,1,These massive slabs move slowly and cause earthquakes where they meet
geo-l2-002,Geography,2,Which strait separates Europe and Africa?,Bering Strait,Strait of Gibraltar,Bosporus,Malacca Strait,Dover Strait,1,This narrow passage connects the Atlantic Ocean to the Mediterranean Sea
geo-l2-003,Geography,2,What is the Ring of Fire?,Desert region,Volcanic zone,Ocean current,Mountain range,Climate zone,1,This horseshoe-shaped zone around the Pacific has frequent earthquakes and volcanoes
geo-l2-004,Geography,2,Which river flows through the Grand Canyon?,Mississippi,Colorado,Rio Grande,Snake,Columbia,1,This river carved the canyon over millions of years
geo-l2-005,Geography,2,What is the Great Barrier Reef?,Mountain range,Desert,Coral reef system,Ice shelf,River delta,2,This largest reef system can be seen from space off Australia's coast
geo-l2-006,Geography,2,Which city is located on two continents?,Cairo,Dubai,Istanbul,Moscow,Jerusalem,2,This Turkish city straddles Europe and Asia across the Bosporus
geo-l2-007,Geography,2,What causes tides?,Wind,Earth's rotation,Moon's gravity,Ocean currents,Water temperature,2,The gravitational pull of this celestial body creates high and low tides
geo-l2-008,Geography,2,Which country has the most time zones?,Russia,USA,France,China,Canada,2,"Including overseas territories, this country spans 12 time zones"
geo-l2-009,Geography,2,What is a fjord?,Volcanic crater,Deep glacial valley filled with sea,Coral island,Sand dune,Underground cave,1,Norway is famous for these steep-sided inlets carved by glaciers
geo-l2-010,Geography,2,Which line marks the boundary between day and night?,Equator,Prime Meridian,Terminator,Tropic of Cancer,Arctic Circle,2,This moving line separates the illuminated and dark portions of Earth
geo-l2-011,Geography,2,What is the Gobi Desert known for?,Hot temperature,Cold desert conditions,Tropical climate,Heavy rainfall,Dense forests,1,This Asian desert experiences both extreme heat and freezing winters
geo-l2-012,Geography,2,Which canal connects the Mediterranean and Red Sea?,Panama Canal,Suez Canal,Kiel Canal,Corinth Canal,Erie Canal,1,This Egyptian canal saves ships from sailing around Africa
geo-l2-013,Geography,2,What is the doldrums?,Ocean current,Trade wind zone,Equatorial low-pressure belt,Polar region,Desert climate,2,This calm zone near the equator trapped sailing ships with no wind
geo-l2-014,Geography,2,Which sea has no coastline?,Red Sea,Sargasso Sea,Baltic Sea,Coral Sea,Arabian Sea,1,This sea in the Atlantic is bounded by ocean currents instead of land
geo-l2-015,Geography,2,What is a watershed?,Deep ocean,Land area draining to one point,Mountain peak,Coral reef,Ice field,1,This is the land area where all water drains to the same river or lake
geo-l2-016,Geography,2,Which current warms Western Europe?,California Current,Gulf Stream,Kuroshio Current,Humboldt Current,Benguela Current,1,This warm Atlantic current makes Europe's climate milder than its latitude suggests
geo-l2-017,Geography,2,What is the taiga?,Tropical rainforest,Boreal forest,Grassland,Tundra,Desert,1,This vast coniferous forest biome spans northern Russia and Canada
geo-l2-018,Geography,2,Which sea is actually a lake?,Red Sea,Black Sea,Caspian Sea,Dead Sea,Baltic Sea,2,The world's largest enclosed inland body of water has no connection to oceans
geo-l2-019,Geography,2,What is orographic precipitation?,Coastal rain,Mountain-induced precipitation,Desert rainfall,Ocean evaporation,Polar snow,1,Air forced up mountains cools and drops moisture on windward slopes
geo-l2-020,Geography,2,Which archipelago is the most isolated?,Philippines,Indonesia,Maldives,Hawaii,Caribbean,3,"This island chain is over 2,000 km from the nearest continent"
geo-l3-001,Geography,3,What is the Moho discontinuity?,Ocean current,Boundary between crust and mantle,Atmospheric layer,Climate zone,Tectonic fault,1,Seismic waves change velocity at this boundary 5-70 km below surface
geo-l3-002,Geography,3,Which biome has permafrost?,Tropical rainforest,Savanna,Tundra,Temperate forest,Desert,2,This treeless biome has permanently frozen subsoil despite summer thawing
geo-l3-003,Geography,3,What is the Coriolis effect?,Ocean warming,Deflection of moving objects due to Earth's rotation,Tectonic movement,Atmospheric pressure,Gravitational pull,1,This effect causes hurricanes to spin counterclockwise in the Northern Hemisphere
geo-l3-004,Geography,3,Which geological era are we in?,Paleozoic,Mesozoic,Cenozoic,Precambrian,Jurassic,2,This era began 66 million years ago after the dinosaur extinction
geo-l3-005,Geography,3,What is a subduction zone?,Mountain formation,One plate sliding under another,Rift valley,Mid-ocean ridge,Transform boundary,1,"The Pacific Plate subducts under Japan, causing deep earthquakes"
geo-l3-006,Geography,3,Which climate classification system is most used?,Thornthwaite,Köppen,Bergeron,Trewartha,Holdridge,1,This system uses temperature and precipitation to define climate types
geo-l3-007,Geography,3,What is the Antarctic Circumpolar Current?,Warm current,Strongest ocean current,Shallow current,Seasonal flow,River system,1,This current flows eastward around Antarctica unobstructed by land
geo-l3-008,Geography,3,Which mineral is most abundant in Earth's crust?,Iron,Quartz,Feldspar,Mica,Calcite,2,This group of minerals makes up about 60% of Earth's crust
geo-l3-009,Geography,3,What is isostasy?,Ocean circulation,Gravitational equilibrium of crust,Atmospheric pressure,Climate pattern,Rock formation,1,Less dense continental crust 'floats' higher than denser oceanic crust
geo-l3-010,Geography,3,Which boundary produces the deepest earthquakes?,Divergent,Transform,Convergent,Passive margin,Hot spot,2,Subduction zones can generate earthquakes over 700 km deep
geo-l3-011,Geography,3,What is the thermohaline circulation?,Surface current,Deep ocean circulation driven by temperature and salinity,Tidal current,Wind-driven flow,River current,1,This global conveyor belt takes 1000 years to complete one cycle
geo-l3-012,Geography,3,Which rock type forms from cooling magma?,Sedimentary,Metamorphic,Igneous,Organic,Chemical,2,Granite and basalt are examples of intrusive and extrusive types
geo-l3-013,Geography,3,What is the Intertropical Convergence Zone?,Ocean current,Belt of low pressure near equator,Mountain range,Desert region,Ice boundary,1,"Trade winds from both hemispheres converge here, causing heavy rainfall"
geo-l3-014,Geography,3,Which process creates metamorphic rocks?,Erosion,Cementation,Heat and pressure,Cooling,Weathering,2,Existing rocks are transformed without melting under these conditions
geo-l3-015,Geography,3,What is a hot spot?,Desert region,Stationary mantle plume,Tropical zone,Volcanic arc,Geothermal area,1,Hawaii formed as the Pacific Plate moved over a stationary magma source
geo-l3-016,Geography,3,Which gas is most abundant in Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Argon,Hydrogen,2,This inert gas makes up about 78% of the atmosphere
geo-l3-017,Geography,3,What is the Gutenberg discontinuity?,Crust-mantle boundary,Mantle-outer core boundary,Outer-inner core boundary,Atmospheric layer,Ocean thermocline,1,"This boundary at 2,900 km depth is where S-waves cannot propagate"
geo-l3-018,Geography,3,Which projection preserves shape?,Mercator,Equal-area,Conformal,Azimuthal,Cylindrical,2,This projection type maintains angles and shapes of small areas
geo-l3-019,Geography,3,What is albedo?,Rock type,Reflectivity of a surface,Ocean current,Wind pattern,Soil composition,1,Ice and snow have high values while forests and oceans have low values
geo-l3-020,Geography,3,Which layer of atmosphere contains the ozone layer?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Exosphere,1,This layer extends from about 10-50 km altitude and absorbs UV radiation
geo-l4-001,Geography,4,What is the Bergeron process?,Ocean formation,Ice crystal precipitation mechanism,Rock weathering,Plate tectonics,Wind erosion,1,Ice crystals grow at the expense of supercooled water droplets in mixed clouds
geo-l4-002,Geography,4,Which soil order is most fertile?,Oxisols,Aridisols,Mollisols,Spodosols,Ultisols,2,These grassland soils with thick A horizons form the world's breadbaskets
geo-l4-003,Geography,4,What is the geostrophic wind?,Surface wind,Theoretical wind from pressure gradient and Coriolis,Mountain breeze,Trade wind,Monsoon,1,This theoretical wind flows parallel to isobars in balanced horizontal flow
geo-l4-004,Geography,4,Which ocean basin is expanding?,Pacific,Atlantic,Indian,Arctic,Southern,1,"The Mid-Atlantic Ridge creates new oceanic crust, widening this basin"
geo-l4-005,Geography,4,What is diagenesis?,Magma formation,Lithification of sediments,Plate movement,Weathering,Volcanic activity,1,Physical and chemical changes transform sediment into sedimentary rock
